worker_id,try_last,worker_paid,task_id,batch_name,platform,unit_id,token_input,token_output,tries_amount,questionnaire_amount,questionnaire_amount_start,questionnaire_amount_end,documents_amount,dimensions_amount,folder,try_current,time_submit,q_0_time_elapsed,q_0_accesses,q_1_time_elapsed,q_1_accesses,doc_index,doc_id,doc_username,doc_created_at,doc_text,doc_lang,doc_length,doc_name,doc_tweet_about_value,doc_tweet_about_label,doc_tweet_about_index,doc_tweet_about_description,doc_tweet_about_justification,doc_tweet_opinion_value,doc_tweet_opinion_label,doc_tweet_opinion_index,doc_tweet_opinion_description,doc_tweet_words_value,doc_accesses,doc_time_elapsed,doc_time_start,doc_time_end,global_form_validity,gold_checks,time_spent_check,time_check_amount,comment_time_submit,comment_text,q_0_0_answer_text,q_0_0_answer_value,q_0_0_index,q_0_0_name,q_0_0_name_full,q_0_0_required,q_0_0_text,q_0_0_type,q_1_0_answer_value,q_1_0_index,q_1_0_name,q_1_0_name_full,q_1_0_text,source_acl,source_data,source_log,doc_words,doc_tweetAbout_value,doc_tweetAbout_label,doc_tweetAbout_index,doc_tweetAbout_description,doc_tweetAbout_justification,doc_tweetOpinion_value,doc_tweetOpinion_label,doc_tweetOpinion_index,doc_tweetOpinion_description,doc_tweetWords_value,doc_tweetAcademic_value,doc_tweetAcademic_label,doc_tweetAcademic_index,doc_tweetAcademic_description,worker_hostname,worker_city,worker_region,worker_country,worker_org,worker_postal,worker_timezone,worker_country_name,worker_latitude,worker_longitude,q_0_1_answer_text,q_0_1_answer_value,q_0_1_index,q_0_1_name,q_0_1_name_full,q_0_1_required,q_0_1_text,q_0_1_type,q_0_2_answer_text,q_0_2_answer_value,q_0_2_index,q_0_2_name,q_0_2_name_full,q_0_2_required,q_0_2_text,q_0_2_type,q_0_3_answer_text,q_0_3_answer_value,q_0_3_index,q_0_3_name,q_0_3_name_full,q_0_3_required,q_0_3_text,q_0_3_type
11122332,1.0,False,SocComP2,Sample-1,,hit_0,PMJGPFVIAOC,BQURNXAWZSI,10.0,2.0,2.0,0.0,5.0,3.0,SocComP2/Sample-1/Data/11122332/,1.0,"Mon, 03 Jan 2022 17:43:52 GMT",5.2,1.0,6.81,1.0,0.0,1453725918191505418,aleksbobic,2021-10-28T14:10:42.000Z,Unnamed company: Oh my god we care so much about the environment. We're adapting our business to be more #environmentallyFriendly! Same unnamed company: Proceeds to spam me with piles of paper ads instead of simply sending a monthly email. Make up your mind...,en,270,tweet_2,2,people,1.0,Tweet talks about people.,Unnamed company: Oh my god we care so much about the environment. We're adapting our business to be more #environmentallyFriendly! Same unnamed company:,1,yes,0.0,,45.0,1.0,18.36,1641231738.01,1641231756.368,True,False,True,3.0,,,0-18,0,0.0,age,age,1.0,What is your age range?,mcq,7.0,0.0,farmers,farmers,"If three farmers can plant three trees in three hours, how long (i.e., how many hours) would it take nine farmers to plant nine trees?",Crowd_Frame-SocComP2_Sample-1_ACL,Crowd_Frame-SocComP2_Sample-1_Data,Crowd_Frame-SocComP2_Sample-1_Logger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122332,1.0,False,SocComP2,Sample-1,,hit_0,PMJGPFVIAOC,BQURNXAWZSI,10.0,2.0,2.0,0.0,5.0,3.0,SocComP2/Sample-1/Data/11122332/,1.0,"Mon, 03 Jan 2022 17:43:52 GMT",5.2,1.0,6.81,1.0,1.0,GOLD-1448919579292422144,OlegZendel,Fri Oct 15 07:52:01 +0000 2021,"So, I guess no more '10 blue links' references? Or is it just going to become 40 instead? As the new feature seems to concatenate the first 4 pages https://t.co/WRVGJZ8mlZ",en,171,tweet_12,1,place,0.0,Tweet talks about a place.,I guess no more '10 blue links' references? Or is it just going to become 40 instead? As the new feature seems to concatenate the first,1,yes,0.0,,171.0,1.0,34.04,1641231756.368,1641231790.407,True,False,True,3.0,,,0-18,0,0.0,age,age,1.0,What is your age range?,mcq,7.0,0.0,farmers,farmers,"If three farmers can plant three trees in three hours, how long (i.e., how many hours) would it take nine farmers to plant nine trees?",Crowd_Frame-SocComP2_Sample-1_ACL,Crowd_Frame-SocComP2_Sample-1_Data,Crowd_Frame-SocComP2_Sample-1_Logger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122332,1.0,False,SocComP2,Sample-1,,hit_0,PMJGPFVIAOC,BQURNXAWZSI,10.0,2.0,2.0,0.0,5.0,3.0,SocComP2/Sample-1/Data/11122332/,1.0,"Mon, 03 Jan 2022 17:43:52 GMT",5.2,1.0,6.81,1.0,2.0,1455343431140601856,Dr_Hai_Dong,2021-11-02T01:18:07.000Z,This is the first work in this field that explores the use of deep learning technologies and non-privacy-sensitive user profile data for detecting social media identity cloning attacks. #SocialMedia #identity,en,208,tweet_10,2,people,1.0,Tweet talks about people.,This is the first work in this field that explores the use of deep learning technologies and non-privacy-sensitive user profile data for detecting social media identity cloning,1,yes,0.0,,74.0,1.0,14.81,1641231790.407,1641231805.222,True,False,True,3.0,,,0-18,0,0.0,age,age,1.0,What is your age range?,mcq,7.0,0.0,farmers,farmers,"If three farmers can plant three trees in three hours, how long (i.e., how many hours) would it take nine farmers to plant nine trees?",Crowd_Frame-SocComP2_Sample-1_ACL,Crowd_Frame-SocComP2_Sample-1_Data,Crowd_Frame-SocComP2_Sample-1_Logger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122332,1.0,False,SocComP2,Sample-1,,hit_0,PMJGPFVIAOC,BQURNXAWZSI,10.0,2.0,2.0,0.0,5.0,3.0,SocComP2/Sample-1/Data/11122332/,1.0,"Mon, 03 Jan 2022 17:43:52 GMT",5.2,1.0,6.81,1.0,3.0,1461661299566383104,debforit,2021-11-19T11:43:04.000Z,Happy sharing that 'An Analysis of Variations in the Effectiveness of Query Performance Prediction' accepted in #ecir2022. This paper reports that QPP outcomes can vary (often significantly) with respect to the retrieval model used and the retrieval evaluation metric used.,en,273,tweet_8,1,place,0.0,Tweet talks about a place.,Happy sharing that 'An Analysis of Variations in the Effectiveness of Query Performance Prediction' accepted in #ecir2022. This paper reports that QPP outcomes can vary (often significantly) with respect to the retrieval model used and the retrieval evaluation metric u,1,yes,0.0,,173.0,1.0,14.02,1641231805.222,1641231819.237,True,False,True,3.0,,,0-18,0,0.0,age,age,1.0,What is your age range?,mcq,7.0,0.0,farmers,farmers,"If three farmers can plant three trees in three hours, how long (i.e., how many hours) would it take nine farmers to plant nine trees?",Crowd_Frame-SocComP2_Sample-1_ACL,Crowd_Frame-SocComP2_Sample-1_Data,Crowd_Frame-SocComP2_Sample-1_Logger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122332,1.0,False,SocComP2,Sample-1,,hit_0,PMJGPFVIAOC,BQURNXAWZSI,10.0,2.0,2.0,0.0,5.0,3.0,SocComP2/Sample-1/Data/11122332/,1.0,"Mon, 03 Jan 2022 17:43:52 GMT",5.2,1.0,6.81,1.0,4.0,1452791358427521025,AlinaBeeTweets,2021-10-26T00:17:06.000Z,"Great summary of https://t.co/maUfpMSLZF. Incl. Transformers, Large Language Models, Diffusion models replacing GANs, AlphaFold, MuZero, Codex using GPT-3, DALL-E, CLIP, PyTorch (60%) &amp; JAX language incoming #stateofAI",en,222,tweet_3,1,place,0.0,Tweet talks about a place.,"Great summary of https://t.co/maUfpMSLZF. Incl. Transformers, Large Language Models, Diffusion models replacing GANs, AlphaFold, MuZe",1,yes,0.0,,79.0,1.0,13.56,1641231819.237,1641231832.797,True,False,True,3.0,,,0-18,0,0.0,age,age,1.0,What is your age range?,mcq,7.0,0.0,farmers,farmers,"If three farmers can plant three trees in three hours, how long (i.e., how many hours) would it take nine farmers to plant nine trees?",Crowd_Frame-SocComP2_Sample-1_ACL,Crowd_Frame-SocComP2_Sample-1_Data,Crowd_Frame-SocComP2_Sample-1_Logger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122333,1.0,True,SocComP2,Sample-1,,hit_0,PMJGPFVIAOC,BQURNXAWZSI,10.0,2.0,2.0,0.0,5.0,3.0,SocComP2/Sample-1/Data/11122333/,1.0,"Mon, 03 Jan 2022 17:01:27 GMT",6.62,1.0,5.46,1.0,0.0,1453725918191505418,aleksbobic,2021-10-28T14:10:42.000Z,Unnamed company: Oh my god we care so much about the environment. We're adapting our business to be more #environmentallyFriendly! Same unnamed company: Proceeds to spam me with piles of paper ads instead of simply sending a monthly email. Make up your mind...,en,270,tweet_2,2,people,1.0,Tweet talks about people.,Oh my god we care so much about the environment. We're adapting our business to be more #environmentallyFriendly! Same unnamed company,1,yes,0.0,,62.0,1.0,10.6,1641229233.084,1641229243.683,True,True,True,3.0,,,0-18,0,0.0,age,age,1.0,What is your age range?,mcq,7.0,0.0,farmers,farmers,"If three farmers can plant three trees in three hours, how long (i.e., how many hours) would it take nine farmers to plant nine trees?",Crowd_Frame-SocComP2_Sample-1_ACL,Crowd_Frame-SocComP2_Sample-1_Data,Crowd_Frame-SocComP2_Sample-1_Logger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122333,1.0,True,SocComP2,Sample-1,,hit_0,PMJGPFVIAOC,BQURNXAWZSI,10.0,2.0,2.0,0.0,5.0,3.0,SocComP2/Sample-1/Data/11122333/,1.0,"Mon, 03 Jan 2022 17:01:27 GMT",6.62,1.0,5.46,1.0,1.0,1448919579292422144,OlegZendel,Fri Oct 15 07:52:01 +0000 2021,"So, I guess no more '10 blue links' references? Or is it just going to become 40 instead? As the new feature seems to concatenate the first 4 pages https://t.co/WRVGJZ8mlZ",en,171,tweet_12,2,people,1.0,Tweet talks about people.,Oh my god we care so much about the environment. We're adapting our business to be more #environmentallyFriendly! Same unnamed company,1,yes,0.0,,162.0,1.0,7.59,1641229243.683,1641229251.277,True,True,True,3.0,,,0-18,0,0.0,age,age,1.0,What is your age range?,mcq,7.0,0.0,farmers,farmers,"If three farmers can plant three trees in three hours, how long (i.e., how many hours) would it take nine farmers to plant nine trees?",Crowd_Frame-SocComP2_Sample-1_ACL,Crowd_Frame-SocComP2_Sample-1_Data,Crowd_Frame-SocComP2_Sample-1_Logger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122333,1.0,True,SocComP2,Sample-1,,hit_0,PMJGPFVIAOC,BQURNXAWZSI,10.0,2.0,2.0,0.0,5.0,3.0,SocComP2/Sample-1/Data/11122333/,1.0,"Mon, 03 Jan 2022 17:01:27 GMT",6.62,1.0,5.46,1.0,2.0,1455343431140601856,Dr_Hai_Dong,2021-11-02T01:18:07.000Z,This is the first work in this field that explores the use of deep learning technologies and non-privacy-sensitive user profile data for detecting social media identity cloning attacks. #SocialMedia #identity,en,208,tweet_10,1,place,0.0,Tweet talks about a place.,Oh my god we care so much about the environment. We're adapting our business to be more #environmentallyFriendly! Same unnamed company,0,no,1.0,,200.0,1.0,14.24,1641229251.277,1641229265.513,True,True,True,3.0,,,0-18,0,0.0,age,age,1.0,What is your age range?,mcq,7.0,0.0,farmers,farmers,"If three farmers can plant three trees in three hours, how long (i.e., how many hours) would it take nine farmers to plant nine trees?",Crowd_Frame-SocComP2_Sample-1_ACL,Crowd_Frame-SocComP2_Sample-1_Data,Crowd_Frame-SocComP2_Sample-1_Logger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122333,1.0,True,SocComP2,Sample-1,,hit_0,PMJGPFVIAOC,BQURNXAWZSI,10.0,2.0,2.0,0.0,5.0,3.0,SocComP2/Sample-1/Data/11122333/,1.0,"Mon, 03 Jan 2022 17:01:27 GMT",6.62,1.0,5.46,1.0,3.0,1461661299566383104,debforit,2021-11-19T11:43:04.000Z,Happy sharing that 'An Analysis of Variations in the Effectiveness of Query Performance Prediction' accepted in #ecir2022. This paper reports that QPP outcomes can vary (often significantly) with respect to the retrieval model used and the retrieval evaluation metric used.,en,273,tweet_8,1,place,0.0,Tweet talks about a place.,Oh my god we care so much about the environment. We're adapting our business to be more #environmentallyFriendly! Same unnamed company,0,no,1.0,,228.0,1.0,10.94,1641229265.513,1641229276.457,True,True,True,3.0,,,0-18,0,0.0,age,age,1.0,What is your age range?,mcq,7.0,0.0,farmers,farmers,"If three farmers can plant three trees in three hours, how long (i.e., how many hours) would it take nine farmers to plant nine trees?",Crowd_Frame-SocComP2_Sample-1_ACL,Crowd_Frame-SocComP2_Sample-1_Data,Crowd_Frame-SocComP2_Sample-1_Logger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122333,1.0,True,SocComP2,Sample-1,,hit_0,PMJGPFVIAOC,BQURNXAWZSI,10.0,2.0,2.0,0.0,5.0,3.0,SocComP2/Sample-1/Data/11122333/,1.0,"Mon, 03 Jan 2022 17:01:27 GMT",6.62,1.0,5.46,1.0,4.0,1452791358427521025,AlinaBeeTweets,2021-10-26T00:17:06.000Z,"Great summary of https://t.co/maUfpMSLZF. Incl. Transformers, Large Language Models, Diffusion models replacing GANs, AlphaFold, MuZero, Codex using GPT-3, DALL-E, CLIP, PyTorch (60%) &amp; JAX language incoming #stateofAI",en,222,tweet_3,3,event,2.0,Tweet talks about an event.,Oh my god we care so much about the environment. We're adapting our business to be more #environmentallyFriendly! Same unnamed company,1,yes,0.0,,205.0,1.0,11.32,1641229276.457,1641229287.777,True,True,True,3.0,,,0-18,0,0.0,age,age,1.0,What is your age range?,mcq,7.0,0.0,farmers,farmers,"If three farmers can plant three trees in three hours, how long (i.e., how many hours) would it take nine farmers to plant nine trees?",Crowd_Frame-SocComP2_Sample-1_ACL,Crowd_Frame-SocComP2_Sample-1_Data,Crowd_Frame-SocComP2_Sample-1_Logger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
